Number of model parameters: 79003758
Epoch: [2][300/374]	Time 1.055 (0.883)	Loss 2.0051 (2.1470)
Epoch: [2][310/374]	Time 0.917 (0.882)	Loss 2.0621 (2.1435)
Epoch: [2][320/374]	Time 0.803 (0.880)	Loss 1.8509 (2.1423)
Epoch: [2][330/374]	Time 0.837 (0.878)	Loss 2.3377 (2.1412)
Epoch: [2][340/374]	Time 0.864 (0.877)	Loss 2.5011 (2.1404)
Epoch: [2][350/374]	Time 0.888 (0.876)	Loss 1.6702 (2.1374)
Epoch: [2][360/374]	Time 0.879 (0.876)	Loss 1.9438 (2.1349)
Epoch: [2][370/374]	Time 0.822 (0.877)	Loss 1.9842 (2.1330)
Test: [0/267]	Time 3.252 (3.252)	Loss 0.8306 (0.8306)
Test: [10/267]	Time 0.955 (1.230)	Loss 0.7900 (0.9163)
Test: [20/267]	Time 1.327 (1.216)	Loss 0.8938 (0.8854)
Test: [30/267]	Time 1.103 (1.140)	Loss 1.0857 (0.9226)
Test: [40/267]	Time 0.962 (1.111)	Loss 1.0563 (0.9330)
Test: [50/267]	Time 1.277 (1.092)	Loss 1.0472 (0.9437)
Test: [60/267]	Time 1.032 (1.100)	Loss 0.5614 (0.9114)
Test: [70/267]	Time 1.104 (1.095)	Loss 1.0942 (0.8932)
Test: [80/267]	Time 1.109 (1.091)	Loss 0.6228 (0.8935)
Test: [90/267]	Time 1.008 (1.091)	Loss 0.8850 (0.8751)
Test: [100/267]	Time 1.093 (1.090)	Loss 0.5408 (0.8505)
Test: [110/267]	Time 0.976 (1.089)	Loss 0.8495 (0.8454)
Test: [120/267]	Time 0.955 (1.080)	Loss 0.8470 (0.8481)
Test: [130/267]	Time 1.003 (1.076)	Loss 0.6172 (0.8412)
Test: [140/267]	Time 0.997 (1.069)	Loss 1.0525 (0.8375)
Test: [150/267]	Time 1.453 (1.066)	Loss 1.3380 (0.8499)
Test: [160/267]	Time 0.962 (1.061)	Loss 0.9027 (0.8658)
Test: [170/267]	Time 0.929 (1.057)	Loss 0.7401 (0.8596)
Test: [180/267]	Time 0.917 (1.057)	Loss 0.8894 (0.8582)
Test: [190/267]	Time 0.950 (1.053)	Loss 0.5468 (0.8574)
Test: [200/267]	Time 1.119 (1.050)	Loss 1.2094 (0.8507)
Test: [210/267]	Time 1.013 (1.052)	Loss 0.8172 (0.8464)
Test: [220/267]	Time 0.979 (1.049)	Loss 0.8303 (0.8462)
Test: [230/267]	Time 1.049 (1.050)	Loss 1.0736 (0.8530)
Test: [240/267]	Time 1.050 (1.047)	Loss 0.8482 (0.8575)
Test: [250/267]	Time 1.075 (1.050)	Loss 1.3040 (0.8612)
Test: [260/267]	Time 1.051 (1.056)	Loss 0.7340 (0.8556)
------------------------------------------------------------------------------------------------------
[epoch: 2], [val_loss: 0.854469], [acc: 0.67664], [miou: 0.46049]
best record: [epoch: 2], [val_loss: 0.85447], [acc: 0.67664], [miou: 0.46049]
------------------------------------------------------------------------------------------------------
Epoch: [3][0/374]	Time 4.314 (4.314)	Loss 2.4502 (2.4502)
Epoch: [3][10/374]	Time 0.860 (1.249)	Loss 1.7206 (2.1912)
Epoch: [3][20/374]	Time 0.916 (1.072)	Loss 2.0467 (2.1107)
Epoch: [3][30/374]	Time 0.934 (1.019)	Loss 2.3379 (2.1160)
Epoch: [3][40/374]	Time 1.000 (0.985)	Loss 2.3078 (2.0910)
Epoch: [3][50/374]	Time 0.901 (0.964)	Loss 2.4839 (2.0879)
Epoch: [3][60/374]	Time 0.836 (0.945)	Loss 1.5875 (2.0846)
Epoch: [3][70/374]	Time 0.846 (0.929)	Loss 1.9532 (2.0875)
Epoch: [3][80/374]	Time 0.876 (0.920)	Loss 2.1857 (2.0789)
Epoch: [3][90/374]	Time 1.024 (0.917)	Loss 2.1699 (2.0794)
Epoch: [3][100/374]	Time 0.833 (0.917)	Loss 1.8440 (2.0685)
Epoch: [3][110/374]	Time 0.959 (0.919)	Loss 2.5904 (2.0614)
Epoch: [3][120/374]	Time 0.876 (0.913)	Loss 1.4196 (2.0517)
Epoch: [3][130/374]	Time 1.177 (0.911)	Loss 1.8187 (2.0518)
Epoch: [3][140/374]	Time 0.827 (0.906)	Loss 1.6544 (2.0400)
Epoch: [3][150/374]	Time 0.810 (0.899)	Loss 2.0251 (2.0354)
Epoch: [3][160/374]	Time 1.128 (0.894)	Loss 2.4445 (2.0422)
Epoch: [3][170/374]	Time 0.820 (0.889)	Loss 1.8383 (2.0470)
Epoch: [3][180/374]	Time 0.831 (0.884)	Loss 1.7064 (2.0402)
Epoch: [3][190/374]	Time 0.788 (0.878)	Loss 1.6365 (2.0378)
Epoch: [3][200/374]	Time 0.775 (0.878)	Loss 1.9246 (2.0288)
Epoch: [3][210/374]	Time 0.821 (0.874)	Loss 1.7938 (2.0241)
Epoch: [3][220/374]	Time 0.770 (0.870)	Loss 1.4674 (2.0238)
Epoch: [3][230/374]	Time 0.811 (0.867)	Loss 1.8207 (2.0276)
Epoch: [3][240/374]	Time 0.840 (0.867)	Loss 2.4008 (2.0308)
Epoch: [3][250/374]	Time 0.792 (0.863)	Loss 1.7356 (2.0289)
Epoch: [3][260/374]	Time 0.804 (0.861)	Loss 1.8140 (2.0335)
Epoch: [3][270/374]	Time 1.187 (0.859)	Loss 1.7614 (2.0297)
Epoch: [3][280/374]	Time 0.912 (0.862)	Loss 1.4049 (2.0209)
Epoch: [3][290/374]	Time 0.977 (0.863)	Loss 2.5006 (2.0187)
Epoch: [3][300/374]	Time 0.897 (0.865)	Loss 1.6719 (2.0209)
Epoch: [3][310/374]	Time 1.167 (0.866)	Loss 1.6043 (2.0194)
Epoch: [3][320/374]	Time 0.958 (0.867)	Loss 1.8818 (2.0132)
Epoch: [3][330/374]	Time 1.099 (0.868)	Loss 1.8849 (2.0129)
Epoch: [3][340/374]	Time 0.977 (0.866)	Loss 1.6773 (2.0079)
Epoch: [3][350/374]	Time 1.349 (0.868)	Loss 1.3279 (2.0041)
